,Ring,SMART,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,ROAD_IMPACT_FEE,MF_RT_BASED_FEE,DIFF_MF_vs_RF,YEAR
42,2,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,129601.19,3742295.6999999997,298.62257999999997,2015
43,2,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,137152.56,343226.6838,210113.36239999998,2015
44,2,In,0.0,253-00,Congregate Care Facility,"SANITARIUM, CONVALESCENT & REST HOME",Other,unit,0.0,-484601.25999999995,28455.448000000004,2015
45,2,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1927491.99,5588199.76,-5297.99772,2015
46,2,In,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,728373.7899999999,1216601.0999999999,5896.91388,2015
47,2,In,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,-151533.6966,-17196.69688,2015
48,2,In,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,0.0,11009.35836,31966.219999999998,2015
49,2,In,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,28498.019999999997,90107.15999999999,-8113.82,2015
50,2,In,0.0,530-00,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,6478.32,47619.0,2577.445359999998,2015
51,2,In,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,0.0,91248.3,-1242.4620000000014,2015
52,2,In,0.0,550-00,University (20 SF/St),COLLEGES,Other,student,0.0,249311.91999999998,-110970.39954000001,2015
53,2,In,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,2013.22,2367.707628,-5949.801,2015
54,2,In,0.0,610-00,Hospital,HOSPITALS,Other,sq. ft.,271899.19,359747.68830000004,118962.28772999998,2015
55,2,In,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,4275678.0,6154038.05016,549.4936599999996,2015
56,2,In,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,1444495.49,-291790.4050775999,4551.910179999999,2015
57,2,In,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,0.0,-249312.8992926,-11823.929540000001,2015
58,2,In,0.0,710-03,"General Office Building [150,001-200,000]",PROFESSIONAL BUILDING,Office,sq. ft.,0.0,-1450912.2642299999,14336.849669999998,2015
59,2,In,0.0,710-04,"General Office Building [200,001-300,000]","OFFICE, MULTI-STORY",Office,sq. ft.,1870124.4400000002,2058601.33336,128111.91066000005,2015
60,2,In,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,29488.480000000003,201653.9525,128040.0340799999,2015
61,2,In,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,5060095.81,-323849.61498889996,3059.8132799999985,2015
62,2,In,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,1864016.4300000002,3665715.768,4363.1874,2015
63,2,In,0.0,820-03,"Shopping Center/General Retail [100,001-200,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,19483.44,2199554.18254,-4229.48383,2015
64,2,In,0.0,820-11,"Shopping Center/General Retail [1,200,001-more]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,29684.88,39275.808000000005,-26783.7054,2015
65,2,In,0.0,841-00,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,413107.44,1032765.86556,28393.365,2015
66,2,In,0.0,841-01,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,15250.480000000001,1520876.982196,-173029.39816,2015
67,2,In,0.0,911-00,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,80069.99143,185538.21,2015
68,2,In,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,2317930.85,542997.5015465,15836.640000000014,2015
69,2,In,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,527533.81,959758.8,28500.738000000005,2015
70,2,In,0.0,937-00,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,0.0,73110.62730399998,-28769.597999999998,2015
71,2,In,0.0,944-00,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,0.0,61595.81999999999,-28945.412209999995,2015
72,2,Out,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,37805.66,35369.09948,-55807.004499999995,2015
73,2,Out,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,3261326.79,3665537.45415,59534.475,2015
74,2,Out,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,0.0,559953.1938,29980.951,2015
75,2,Out,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,685961.75,265321.914,10339.488660000003,2015
76,2,Out,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,271343.07,364216.88159999996,-8113.82,2015
77,2,Out,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,268701.15,5814623.1,8037.096799999999,2015
78,2,Out,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,430443.05,266076.43919999996,0.0,2015
79,2,Out,0.0,253-00,Congregate Care Facility,"SANITARIUM, CONVALESCENT & REST HOME",Other,unit,0.0,33120.229999999996,0.0,2015
80,2,Out,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,107048.16,728810.1391999999,-169652.34,2015
81,2,Out,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,52895.7,-22935.76285,2015
82,2,Out,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,-98628.20109999999,213642.0,2015
83,2,Out,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,269.96000000000004,2697.6807000000003,1045.2198400000007,2015
84,2,Out,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,5165.139999999999,33748.0,-190837.68436,2015
85,2,Out,0.0,530-00,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,0.0,46666.62,210793.44,2015
86,2,Out,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,0.0,49679.630000000005,-58208.247540000004,2015
87,2,Out,0.0,550-00,University (20 SF/St),COLLEGES,Other,student,7598.0199999999995,10052.9,-85861.26692,2015
88,2,Out,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,10654.380000000001,63149.0145,146877.21048,2015
89,2,Out,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,109800.78,67830.91315,-55231.13942000001,2015
90,2,Out,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,0.0,74470.27731,26959.209420000003,2015
91,2,Out,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,3040251.4499999997,805880.7127800001,-25399.039380000002,2015
92,2,Out,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,0.0,-783564.6819,58649.0905,2015
93,2,Out,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,9183.89,423610.68750000006,2882.27168,2015
94,2,Out,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,562857.0,472914.33226179995,1465.8181200000008,2015
95,2,Out,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,712562.8400000001,307804.27391999995,1456.13278,2015
96,2,Out,0.0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,2048.14,2275.7019999999998,-29149.698000000004,2015
97,2,Out,0.0,820-03,"Shopping Center/General Retail [100,001-200,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,26793.890000000003,29770.9126,33583.55,2015
98,2,Out,0.0,820-04,"Shopping Center/General Retail [200,001-300,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,12805.41,14228.223724,-686587.3858,2015
99,2,Out,0.0,841-00,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,0.0,120940.0335,53511.45227999999,2015
100,2,Out,0.0,841-01,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,0.0,-30377.204,712140.0,2015
101,2,Out,0.0,912-00,Bank (Drive-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,72311.92,-860587.9396399999,-39233.14183000001,2015
102,2,Out,0.0,931-00,Quality Restaurant,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,-479188.77864000003,41354.28011,2015
103,2,Out,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,1712803.83,1419616.7585600002,-472532.2670999998,2015
104,2,Out,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,133248.73,411325.2,68855.23787999999,2015
105,2,Out,0.0,934-00,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,15248.97,18345.54150000002,758429.1,2015
106,2,Out,0.0,937-00,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,0.0,-99711.03999999998,-38685.781,2015
107,2,Out,0.0,944-00,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,0.0,41063.88,39158.61949999999,2015
108,3,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,0.15,-1085.0468200000032,-7460.815500000001,2015
109,3,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,6095681.82,3066609.6232200004,7591.977249999999,2015
110,3,In,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,184700.0,254281.53608,-21675.6264,2015
111,3,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,982806.73,1085139.2981,22056.691799999997,2015
112,3,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,904111.28,1336689.8688,1102.6214600000003,2015
113,3,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,424440.27,1492362.2999999998,15128.561780000002,2015
114,3,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,21158.45,5253.82,-303.67909,2015
115,3,In,0.0,240-00,Mobile Home,MOBILE HOME,Single-family,unit,0.0,-107387.28,-11394.24,2015
116,3,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,3862166.11,6446425.699999999,-495.28751999999986,2015
117,3,In,0.0,480-00,Amusement Park,TOURIST ATTRACTIONS,Other,acre,13278.17,17568.265,-8144.616480000001,2015
118,3,In,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,2856.6600000000003,145183.36976,9159.15,2015
119,3,In,0.0,530-00,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,182611.97,241612.8,1312.9275399999988,2015
120,3,In,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,0.0,55770.0,18123.055900000007,2015
121,3,In,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,0.0,180552.80099999998,-55118.6571,2015
122,3,In,0.0,610-00,Hospital,HOSPITALS,Other,sq. ft.,130906.36,153957.20911999998,59144.8,2015
123,3,In,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,1584061.0,622150.681152,-2198.9792,2015
124,3,In,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,17739.75,20863.3425,2237.6353999999997,2015
125,3,In,0.0,710-04,"General Office Building [200,001-300,000]","OFFICE, MULTI-STORY",Office,sq. ft.,0.0,2468271.09386,2656.2560200000007,2015
126,3,In,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,0.0,1189438.6075,-31417.4216,2015
127,3,In,0.0,760-00,Research Center,PROFESSIONAL BUILDING,Office,sq. ft.,0.0,9943.213279999998,33115.9972,2015
128,3,In,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,220247.44,348673.7983014,-9487.697800000002,2015
129,3,In,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,127008.86,442136.07152,37355.5622,2015
130,3,In,0.0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,89845.73999999999,105666.24639999999,51529.54663999999,2015
131,3,In,0.0,820-11,"Shopping Center/General Retail [1,200,001-more]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,434607.82999999996,678013.08575,-9935.64,2015
132,3,In,0.0,841-00,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,9109.640000000001,53699.703199999996,-9935.64,2015
133,3,In,0.0,841-01,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,0.0,344750.13143999997,3226.7114,2015
134,3,In,0.0,880-00,Pharmacy/Drugstore w/o Drive-Thru,"STORES, ONE STORY",Commercial/Retail,sq. ft.,3235.66,3805.4302,12411.9706,2015
135,3,In,0.0,890-00,Furniture Store (free standing),"WHOLESALE, PRODUCE, MFG",Commercial/Retail,sq. ft.,0.0,54331.25412,-63916.382399999995,2015
136,3,In,0.0,911-00,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,33152.59805,78477.0701,2015
137,3,In,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,1682348.4799999997,373796.00258000003,634.6444000000001,2015
138,3,In,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,148545.54,219118.89999999997,-20735.7716,2015
139,3,In,0.0,934-00,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,2057.33,2419.59575,21981.96,2015
140,3,In,0.0,944-00,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,83090.95999999999,97721.91,18019.749900000003,2015
141,3,Out,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,379698.15,424195.7761899,24981.600929999997,2015
142,3,Out,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,11649557.74,12080050.06494,-42131.47796,2015
143,3,Out,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,103859.38,115396.53125,9762.816700000001,2015
144,3,Out,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,5987005.1,7175479.8687,-8113.82,2015
145,3,Out,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,6658957.319999999,7672302.866799999,1090.7985000000008,2015
146,3,Out,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,2729035.44,7133437.74,1374.0792199999996,2015
147,3,Out,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,3754.7,45854.38,33750.24,2015
148,3,Out,0.0,254-00,Assisted Living Facility,HOMES FOR THE AGED,Other,bed,0.0,0.0,-27858.560729999997,2015
149,3,Out,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,671831.16,32290.280000000002,2015
150,3,Out,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,624467.84,1138177.04,-29840.46637,2015
151,3,Out,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,-242052.29619999998,34417.619999999995,2015
152,3,Out,0.0,491-00,Racquet Club,OUTDOOR RECREATIONAL,Other,court,108525.29,143589.16,-31630.574689999998,2015
153,3,Out,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,48359.28,186360.1168,16783.289999999997,2015
154,3,Out,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,16154.180000000002,79429.35,-14167.428703999998,2015
155,3,Out,0.0,530-00,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,27724.55,85571.19999999998,29561.68,2015
156,3,Out,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,126453.59999999999,167310.0,-25081.056,2015
157,3,Out,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,7970.05,83987.38205,23693.550000000003,2015
158,3,Out,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,101152.55,157997.99015,-23111.577059999996,2015
159,3,Out,0.0,610-00,Hospital,HOSPITALS,Other,sq. ft.,282705.38,452168.10495999997,14390.86,2015
160,3,Out,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,0.0,20928.224459999998,-12434.859579999998,2015
161,3,Out,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,1442605.97,67964.85152600001,7608.46,2015
162,3,Out,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,0.0,744662.62871,-6712.906199999999,2015
163,3,Out,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,14845.5,874869.0236,26435.69,2015
164,3,Out,0.0,760-00,Research Center,PROFESSIONAL BUILDING,Office,sq. ft.,0.0,60782.60187999999,-26883.910682199996,2015
165,3,Out,0.0,817-00,Nursery Garden Center,"FLORISTS, GREENHOUSES",Commercial/Retail,sq. ft.,0.0,0.0,9232.849999999999,2015
166,3,Out,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,2596574.52,618647.978091,905040.5199999999,2015
167,3,Out,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,1813147.1199999999,954543.7873400002,-135858.58,2015
168,3,Out,0.0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,156545.87,821811.8322699999,-771063.2686899999,2015
169,3,Out,0.0,820-03,"Shopping Center/General Retail [100,001-200,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,1272885.44,1558359.8058600002,3693.1399999999994,2015
170,3,Out,0.0,820-04,"Shopping Center/General Retail [200,001-300,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,66923.59,113918.83932000001,-249238.24639999997,2015
171,3,Out,0.0,820-08,"Shopping Center/General Retail [600,001-800,000]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,5591.63,7082.24517,249249.0,2015
172,3,Out,0.0,841-00,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,59502.55,168427.92966999998,70983.16999999998,2015
173,3,Out,0.0,841-01,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,127718.61,267318.11964,-68365.44,2015
174,3,Out,0.0,853-00,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,0.0,156203.89785,-224284.2144,2015
175,3,Out,0.0,881-00,Pharmacy/Drugstore w/ Drive-Thru,"STORES, ONE STORY",Commercial/Retail,sq. ft.,145831.0,366761.15190000006,224324.09999999998,2015
176,3,Out,0.0,912-00,Bank (Drive-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,-87146.77971999999,76522.85999999999,2015
177,3,Out,0.0,931-00,Quality Restaurant,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,-295831.45735,-68365.44,2015
