,Ring,SMART,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,ROAD_IMPACT_FEE,MF_RT_BASED_FEE,DIFF_MF_vs_RF,YEAR
16,1,In,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,0.0,422902.39269460004,649.9808639999974,2020
17,1,In,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,0.0,-548779.4671023199,101.15884000000005,2020
18,1,In,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,17459088.03,3014059.84950636,-98044.4528,2020
19,1,In,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,32375.66,567843.1316939801,275342.19488063996,2020
20,1,In,0.0,710-03,"General Office Building [150,001-200,000]",PROFESSIONAL BUILDING,Office,sq. ft.,0.0,1605410.9474519999,-177297.6534056,2020
21,1,In,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,0.0,123317.3438,-3483.5794352,2020
22,1,In,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,5537186.61,894260.8476120599,3483.596928,2020
23,1,In,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,2306997.33,2548880.87264064,-29529.46986,2020
24,1,In,0.0,841-00,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,0.0,722351.117844,30775.131817999998,2020
25,1,In,0.0,841-01,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,0.0,657439.16864,-52151.206532,2020
26,1,In,0.0,851-00,Convenience market,"STORES, ONE STORY",Commercial/Retail,sq. ft.,0.0,7930.2936,54030.378035999995,2020
27,1,In,0.0,890-00,Furniture Store (free standing),"WHOLESALE, PRODUCE, MFG",Commercial/Retail,sq. ft.,0.0,36313.084859999995,-0.08671599999979662,2020
28,1,In,0.0,931-00,Quality Restaurant,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,259327.086512,-73931.11596,2020
29,1,In,0.0,931-01,Quality Restaurant/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,0.0,181696.36800000002,74533.7932,2020
30,1,In,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,94808.31000000001,4041123.9089899994,2304.7957399999996,2020
31,1,In,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,0.0,833229.1599999999,-2100.13679,2020
32,1,In,0.0,933-00,Fast Food Rest. w/o Drive-Thru,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,9651.82,10991.449499999999,988.5585599999977,2020
33,1,In,0.0,944-00,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,46749.64000000001,-24150.156000000017,36001.41727199999,2020
34,2,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,10753.67,-8338.891768,-31759.599690000003,2020
35,2,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,951905.6000000001,-104921.47080104002,-4241.864394,2020
36,2,In,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,0.0,267396.37386399996,249.6359999999995,2020
37,2,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,390938.31,-95436.68,-194720.62685759997,2020
38,2,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,1216283.23,-103263.76608000002,194720.215104,2020
39,2,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,4930223.239999999,6219447.3,5247.769112000001,2020
40,2,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,11311.34,46746.144,6701.088,2020
41,2,In,0.0,252-00,Senior Adult Housing-Attached,HOMES FOR THE AGED,Other,unit,0.0,600179.65,-17760.6934,2020
42,2,In,0.0,254-00,Assisted Living Facility,HOMES FOR THE AGED,Other,bed,0.0,59428.424,17859.7283,2020
43,2,In,0.0,255-00,Continuing Care Retirement Community,HOMES FOR THE AGED,Other,unit,0.0,477694.72799999994,-37462.553996,2020
44,2,In,0.0,30-00,Truck Terminals,SERVICE STATIONS,Commercial/Retail,sq. ft.,0.0,1341032.9461359999,38089.774732,2020
45,2,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,52509.84,2792846.624,-34798.728964,2020
46,2,In,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,-124434.35999999999,35443.8609,2020
47,2,In,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,8792.82,-145351.712,-12803.278284,2020
48,2,In,0.0,480-00,Amusement Park,TOURIST ATTRACTIONS,Other,acre,47656.36,1088687.0309,12106.773051999997,2020
49,2,In,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,0.0,69098.400108,2161.9671099999996,2020
50,2,In,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,0.0,28382.068,11686.536,2020
51,2,In,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,7603.53,113291.11,-1209359.4788519999,2020
52,2,In,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,0.0,-70299.26715334,61211.86878399999,2020
53,2,In,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,0.0,117035.95012200002,-406253.46,2020
54,2,In,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,217683.53,647717.736788,1260642.1800000002,2020
55,2,In,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,5879735.76,462050.922006,308749.18990999996,2020
56,2,In,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,0.0,-1119169.66824994,28532.798748,2020
57,2,In,0.0,710-05,"General Office Building [300,001-400,000]","OFFICE, MULTI-STORY",Office,sq. ft.,0.0,3255007.166992,-19990.754724,2020
58,2,In,0.0,710-06,"General Office Building [400,001-500,000]","OFFICE, MULTI-STORY",Office,sq. ft.,0.0,4314266.820716,20361.3669,2020
59,2,In,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,0.01,115568.89206100002,-58303.4678,2020
60,2,In,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,2582896.2199999997,498701.1412608399,59644.140499999994,2020
61,2,In,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,406300.58999999997,728373.9963974401,94797.823576,2020
62,2,In,0.0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,135900.09,-269184.63063133997,-159515.57328999997,2020
63,2,In,0.0,820-03,"Shopping Center/General Retail [100,001-200,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,78757.43,3486321.979932,64717.496547999996,2020
64,2,In,0.0,820-08,"Shopping Center/General Retail [600,001-800,000]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,1650.6699999999998,1705.4168039999786,850.2577160000001,2020
65,2,In,0.0,841-00,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,897781.7599999999,494698.41585599986,-53477.557715999996,2020
66,2,In,0.0,841-01,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,0.0,1256140.683768,-35766.848308,2020
67,2,In,0.0,850-00,Supermarket (free standing),SUPERMARKETS,Commercial/Retail,sq. ft.,0.0,360319.802736,54372.913971999995,2020
68,2,In,0.0,853-00,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,342354.58,353710.44597,36365.677636,2020
69,2,In,0.0,890-00,Furniture Store (free standing),"WHOLESALE, PRODUCE, MFG",Commercial/Retail,sq. ft.,0.0,6063.7782,-393536.96949199995,2020
70,2,In,0.0,911-00,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,-209291.17421799997,393688.92000000004,2020
71,2,In,0.0,912-00,Bank (Drive-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,-157035.80909999998,-437408.61225199996,2020
72,2,In,0.0,931-00,Quality Restaurant,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,229862.738976,649167.9,2020
73,2,In,0.0,931-01,Quality Restaurant/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,0.0,-380459.21628,-194331.552,2020
74,2,In,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,0.0,854311.54984,-161987.257152,2020
75,2,In,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,35588.4,569188.7999999999,161987.257152,2020
76,2,In,0.0,933-00,Fast Food Rest. w/o Drive-Thru,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,182897.71967999998,-50609.22704,2020
77,2,In,0.0,934-00,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,172589.50999999998,156431.15701200004,302162.40222,2020
78,2,In,0.0,937-00,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,0.0,132881.067968,-251542.6795,2020
79,2,In,1.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,46008.61,42946.505999999994,-35691.867487999996,2020
80,2,In,1.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,8630.26,757222.944,36512.586879999995,2020
81,2,In,1.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,0.0,753872.4,-68299.28409999999,2020
82,2,In,1.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,49344.28999999999,105178.824,69442.79969999999,2020
83,2,In,1.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,327742.72,337987.80799999996,-58350.452659999995,2020
84,2,In,1.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,43552.026,59432.2085,2020
85,2,In,1.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,25553.84,13467.834552,-75439.62673599999,2020
86,2,In,1.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,0.0,87837.5722,77174.33136,2020
87,2,In,1.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,702209.4,45119.31359999999,93252.853924,2020
88,2,In,1.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,0.0,-598559.910912,61287.067639999994,2020
89,2,In,1.0,841-00,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,0.0,225683.05139399998,-61287.067639999994,2020
90,2,In,1.0,841-01,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,0.0,452548.686712,6701.088,2020
91,2,Out,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,0.0,-2100.13679,-99608.04,2020
92,2,Out,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,758065.73,1966279.4999968,16764.810215999998,2020
93,2,Out,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,706556.9500000001,116337.31292,-330059.26368,2020
94,2,Out,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,81767.74,1697787.6556799999,542494.087488,2020
95,2,Out,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,609913.96,4590245.28,71664.09095,2020
96,2,Out,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,0.0,11686.536,-8214.902876,2020
97,2,Out,0.0,253-00,Congregate Care Facility,"SANITARIUM, CONVALESCENT & REST HOME",Other,unit,0.0,24604.295999999995,8367.1931,2020
98,2,Out,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,227580.85,1577068.9009599998,-123840.36601999999,2020
99,2,Out,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,118212.64199999999,-35216.264542,2020
100,2,Out,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,-1153729.214,126898.06949999998,2020
101,2,Out,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,0.0,28532.798748,35216.279572,2020
102,2,Out,0.0,550-00,University (20 SF/St),COLLEGES,Other,student,37838.27,37838.272,-22572.862804,2020
103,2,Out,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,0.0,378624.16228632,22572.900867999997,2020
104,2,Out,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,2452.87,-17538.762332,-15477.847908,2020
105,2,Out,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,0.0,320777.843028,15764.7973,2020
106,2,Out,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,2401816.5799999996,-197908.74011759993,-41716.403318,2020
107,2,Out,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,3721.72,-11095.303580799999,44283.753187999995,2020
108,2,Out,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,0.0,203470.0262,-6057.64384508,2020
109,2,Out,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,909957.35,17257.761457720015,181307.64939,2020
110,2,Out,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,1445798.06,898879.7040652799,-175249.92639,2020
111,2,Out,0.0,820-09,"Shopping Center/General Retail [800,001-1,000,000]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,99190.42,104291.50844799996,-489322.06446799997,2020
112,2,Out,0.0,841-00,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,129578.43,-340117.319238,500961.955104,2020
113,2,Out,0.0,841-01,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,0.0,-260754.16932000002,-53137.044838,2020
114,2,Out,0.0,853-00,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,76690.74,82748.49617999999,55339.389489999994,2020
115,2,Out,0.0,911-00,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,-280394.763898,73947.76355199999,2020
116,2,Out,0.0,931-00,Quality Restaurant,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,500961.955104,-73153.422896,2020
117,2,Out,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,89254.53,1007027.5190443998,-7049.892749999999,2020
118,2,Out,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,0.0,297243.04,21990.467999999997,2020
119,2,Out,0.0,937-00,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,0.0,21990.467999999997,-14940.473320799998,2020
120,2,Out,1.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,14350.91,-9543.668,-40171.47706599999,2020
121,2,Out,1.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,0.0,80413.056,1611.7869599999904,2020
122,2,Out,1.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,0.0,44283.753187999995,65816.01243,2020
123,2,Out,1.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,0.0,627862.6788,-40908.439183999995,2020
124,2,Out,1.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,27451.02,-11411.426397999998,41108.08,2020
125,2,Out,1.0,841-00,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,523647.30000000005,-18261.822174,2853.9569199999987,2020
126,3,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,48262.32,-172349.941412,-46049.76144585999,2020
127,3,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,2399687.43,2260592.296848,53608.704,2020
128,3,In,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,30119.380000000005,426415.21723199997,149307.32858799997,2020
129,3,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,313484.99,204432.11337999997,-302426.474538,2020
130,3,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,5353.83,13402.176000000003,397804.54861199996,2020
131,3,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,2199821.99,4662514.092,-244691.02895200002,2020
132,3,In,0.0,254-00,Assisted Living Facility,HOMES FOR THE AGED,Other,bed,633034.77,654032.2440000001,-4743.1678421999995,2020
133,3,In,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,0.0,25634.823760000003,4743.24,2020
134,3,In,0.0,610-00,Hospital,HOSPITALS,Other,sq. ft.,2302462.52,2378840.381952,-64062.469354,2020
135,3,In,0.0,620-00,Nursing Home,"SANITARIUM, CONVALESCENT & REST HOME",Other,bed,2736.0,69580.976,65401.09667,2020
136,3,In,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,242664.46,284304.40934032004,-119599.570484,2020
137,3,In,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,0.0,1148698.0526039999,119599.46781999999,2020
138,3,In,0.0,710-02,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,0.54,-40717.127357599995,27646.070999999996,2020
139,3,In,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,51032.76,80993.07688000001,-24021.483,2020
140,3,In,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,1852580.62,213390.25760152,-62377.200443999995,2020
141,3,In,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,288508.60000000003,692660.437024,-90937.21806,2020
142,3,In,0.0,820-03,"Shopping Center/General Retail [100,001-200,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,0.0,0.0,92837.4013,2020
143,3,In,0.0,820-04,"Shopping Center/General Retail [200,001-300,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,0.0,-1227755.8720895997,-82046.70811,2020
144,3,In,0.0,820-05,"Shopping Center/General Retail [300,001-400,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,0.0,-349466.05911423994,83761.11905,2020
145,3,In,0.0,820-09,"Shopping Center/General Retail [800,001-1,000,000]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,0.0,48946.44220799999,-158162.089306,2020
146,3,In,0.0,841-00,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,0.0,0.0,161270.16,2020
147,3,In,0.0,841-01,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,0.0,0.0,-55428.24452199999,2020
148,3,In,0.0,853-00,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,42098.06,206802.20276,98026.95999999999,2020
149,3,In,0.0,912-00,Bank (Drive-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,86282.74485599999,-41491.576,2020
150,3,In,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,5170.54,144868.332112,-49046.143317999995,2020
151,3,In,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,0.0,42689.16,49808.1409,2020
152,3,In,0.0,944-00,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,10050.69,-274457.94474,-14073.796171999998,2020
153,3,In,1.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,1036901.55,-309250.21229600004,14292.4586,2020
154,3,In,1.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,80573.0,-29181.017999999996,103812.010708,2020
155,3,In,1.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,384016.44,808772.88,1051233.1800000002,2020
156,3,In,1.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,0.0,1036953.0,-1153729.214,2020
157,3,In,1.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,0.0,-11686.536,9543.73000399999,2020
158,3,In,1.0,254-00,Assisted Living Facility,HOMES FOR THE AGED,Other,bed,0.0,37128.468,-9543.668,2020
159,3,In,1.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,1512050.72,-15810.757471139998,2020
160,3,In,1.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,0.0,-32571.425399999996,15810.8,2020
161,3,In,1.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,102228.73,196813.884604,-541909.122174,2020
162,3,In,1.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,985907.1000000001,114241.67211599997,627862.6788,2020
163,3,In,1.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,0.0,-3327.991744,-167269.2747,2020
164,3,In,1.0,841-00,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,538911.22,179381.51549999998,187630.46399999998,2020
165,3,In,1.0,841-01,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,0.0,472126.043136,-16063.140368,2020
166,3,In,1.0,912-00,Bank (Drive-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,-65632.51464,-35055.222096,2020
167,3,Out,0.0,130-00,Industrial Park,LIGHT MANUFACTURING,Industrial/Manufacturing,sq. ft.,79764.59999999999,82410.2628,172439.9856,2020
168,3,Out,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,204306.64,-911776.3679503199,-172439.9856,2020
169,3,Out,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,24105983.48,24855860.52652704,35055.350858,2020
170,3,Out,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,955915.88,941826.9685799999,-75891.75923200001,2020
171,3,Out,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,5602595.9,5979244.244,75891.84,2020
172,3,Out,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,1683739.5099999998,1482101.028,-906999.2040960001,2020
173,3,Out,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,2855835.06,2933273.44,946572.74086464,2020
174,3,Out,0.0,240-00,Mobile Home,MOBILE HOME,Single-family,unit,0.0,-69654.984,-1158042.1451680001,2020
175,3,Out,0.0,252-00,Senior Adult Housing-Attached,HOMES FOR THE AGED,Other,unit,0.0,308386.29,1494261.8879999998,2020
176,3,Out,0.0,254-00,Assisted Living Facility,HOMES FOR THE AGED,Other,bed,304077.84,314163.96,-289939.29981,2020
177,3,Out,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,223981.848,-9543.668,2020
178,3,Out,0.0,420-00,Marina,"AIRPORTS, TERMINALS, PIERS",Other,berth,2954.82,3052.83,9543.668,2020
