DIST_ID,PROC_NUM,FOLIO_NUM,SITE_ADDR,ASSE_DATE,FEET_CODE,STATUS_CODE,COL_CON,COL_ADM,CRED_AMT,DEF_AMT,DEF_ADM,CODE,ASSD_BASIS_QTY,YEAR
9.1,B199904760-0,4.30022E+11,1793 W 37 ST (#2),9/26/2019,ROAD,A,8369.71,167.4,0,0,0,710-00,"4,870.00",2019
7,B2000080677-0,3.4108E+11,220 ALHAMBRA CIR,9/2/2016,ROAD,C,"$2,244.50 ",$44.89 ,$0.00 ,$0.00 ,$0.00 ,710-00,"-4,489.00",2016
7,B2000080677-0,3.4108E+11,220 ALHAMBRA CIR,9/2/2016,ROAD,C,"$2,244.50 ",$44.89 ,$0.00 ,$0.00 ,$0.00 ,720-00,"4,489.00",2016
1.1,B200009498-0,9.4036E+11,5898 SUNSET DR,9/19/2018,ROAD,C,"$12,063.60 ",$241.28 ,$0.00 ,$0.00 ,$0.00 ,820-00,"-1,836.00",2018
1.1,B200009498-0,9.4036E+11,5898 SUNSET DR,9/19/2018,ROAD,C,"$12,063.60 ",$241.28 ,$0.00 ,$0.00 ,$0.00 ,832-00,"1,836.00",2018
9,B2001000054-1,4.20271E+11,8325 W 24 AVE BUILDING B,4/1/2016,ROAD,C,"$3,303.02 ",$66.06 ,$0.00 ,$0.00 ,$0.00 ,150-00,"-13,585.00",2016
9,B2001000054-1,4.20271E+11,8325 W 24 AVE BUILDING B,4/1/2016,ROAD,C,"$3,303.02 ",$66.06 ,$0.00 ,$0.00 ,$0.00 ,820-02,"13,585.00",2016
9,B2001000055-1,4.20271E+11,2350 W 84 ST BUILDING A,4/1/2016,ROAD,C,"$5,760.41 ",$115.21 ,$0.00 ,$0.00 ,$0.00 ,820-02,"23,692.00",2016
9,B2001000055-1,4.20271E+11,2350 W 84 ST BUILDING A,4/1/2016,ROAD,C,"$5,760.41 ",$115.21 ,$0.00 ,$0.00 ,$0.00 ,150-00,"-23,692.00",2016
2,B20010006060-1,1.3231E+11,1111 MACARTHUR CAUSEWAY,1/29/2020,ROAD,C,$508.78 ,$10.18 ,$0.00 ,$0.00 ,$0.00 ,480-00,13.3,2020
2,B20010006060-1,1.3231E+11,1111 MACARTHUR CAUSEWAY,1/29/2020,ROAD,C,$508.78 ,$10.18 ,$0.00 ,$0.00 ,$0.00 ,710-00,"-10,168.00",2020
2,B20010006060-1,1.3231E+11,1111 MACARTHUR CAUSEWAY,1/29/2020,ROAD,C,$508.78 ,$10.18 ,$0.00 ,$0.00 ,$0.00 ,820-01,"-44,387.00",2020
2,B20010006060-1,1.3231E+11,1111 MACARTHUR CAUSEWAY,1/29/2020,ROAD,C,$508.78 ,$10.18 ,$0.00 ,$0.00 ,$0.00 ,832-00,"-3,705.00",2020
2,B20010018205-1,1.323E+11,3031 NE 4 AVE,1/14/2020,ROAD,A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,220-00,8,2020
2,B20010018205-1,1.323E+11,3031 NE 4 AVE,1/14/2020,ROAD,A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,220-00,-2,2020
3.1,B200100228-0,1.42235E+12,9490 HARDING AVE,6/4/2018,ROAD,C,"$5,098.78 ",$101.98 ,$0.00 ,$0.00 ,$0.00 ,832-00,776,2018
3.1,B200100228-0,1.42235E+12,9490 HARDING AVE,6/4/2018,ROAD,C,"$5,098.78 ",$101.98 ,$0.00 ,$0.00 ,$0.00 ,820-00,-776,2018
9,B20010400061-1,4.20271E+11,8051 W 24 AVE BUILDING K,4/1/2016,ROAD,C,"$4,493.42 ",$89.87 ,$0.00 ,$0.00 ,$0.00 ,150-00,"-18,481.00",2016
9,B20010400061-1,4.20271E+11,8051 W 24 AVE BUILDING K,4/1/2016,ROAD,C,"$4,493.42 ",$89.87 ,$0.00 ,$0.00 ,$0.00 ,820-02,"18,481.00",2016
9.1,B2001043629-0,4.3118E+11,55 W 3 ST,12/6/2019,ROAD,C,479.7,9.6,0,0,0,820-00,-699,2019
9.1,B2001043629-0,4.3118E+11,55 W 3 ST,12/6/2019,ROAD,C,479.7,9.6,0,0,0,720-00,699,2019
1,B20012200097-1,2.22033E+12,11300 NW S RIVER DR,6/2/2020,ROAD,C,"$5,714.90 ",$114.30 ,$0.00 ,$0.00 ,$0.00 ,150-00,"7,600.00",2020
2,B20020001149-1,1.3207E+11,7521 NE 3 AVE,2/6/2017,ROAD,C,"$8,216.18 ",$164.32 ,$0.00 ,$0.00 ,$0.00 ,210-00,1,2017
1,B2002189017-0,3.53029E+12,3601 NW 107 AVE,8/28/2017,ROAD,C,"$51,243.24 ","$1,973.35 ","$47,424.04 ",$0.00 ,$0.00 ,710-00,"38,604.00",2017
2,B20025009374-0,1.3207E+11,7300 BISCAYNE BLVD,5/2/2016,ROAD,A,"$9,855.88 ",$197.12 ,$0.00 ,$0.00 ,$0.00 ,832-00,"1,500.00",2016
2,B20025009374-0,1.3207E+11,7300 BISCAYNE BLVD,5/2/2016,ROAD,A,"$9,855.88 ",$197.12 ,$0.00 ,$0.00 ,$0.00 ,820-00,"-1,500.00",2016
3.1,B20030001126-0,2.82203E+12,18851 NE 29 AVE (STE. 301),3/1/2017,ROAD,C,"$1,463.88 ",$29.28 ,$0.00 ,$0.00 ,$0.00 ,720-00,"1,082.00",2017
3.1,B20030001126-0,2.82203E+12,18851 NE 29 AVE (STE. 301),3/1/2017,ROAD,C,"$1,463.88 ",$29.28 ,$0.00 ,$0.00 ,$0.00 ,710-04,"-1,082.00",2017
1.1,B20030500860-1,5.312E+11,901 S ROYAL POINCIANA BLVD,12/29/2016,ROAD,A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,320-00,0,2016
1.1,B20030500860-2,5.312E+11,901 S ROYAL POINCIANA BLVD,12/29/2016,ROAD,A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,320-00,0,2016
2,B20040100221-0,1.3125E+11,170 NW 24 ST,12/13/2017,ROAD,A,"$24,639.95 ",$492.80 ,$0.00 ,$0.00 ,$0.00 ,820-00,"2,824.00",2017
2,B20040100223-0,1.3125E+11,48 NW 25 ST,1/29/2019,ROAD,A,110328.18,2206.57,0,0,0,932-00,"2,500.00",2019
2,B20040100223-0,1.3125E+11,48 NW 25 ST,1/29/2019,ROAD,A,110328.18,2206.57,0,0,0,140-00,"-2,500.00",2019
2,B20040100224-0,1.3137E+11,700 N MIAMI AVE,3/6/2019,ROAD,A,33367085.12,667341.7,0,0,0,820-05,"-347,177.00",2019
2,B20040100224-0,1.3137E+11,700 N MIAMI AVE,3/6/2019,ROAD,A,33367085.12,667341.7,0,0,0,820-11,"1,566,517.00",2019
2,B20040100224-0,1.3137E+11,700 N MIAMI AVE,3/6/2019,ROAD,A,33367085.12,667341.7,0,0,0,310-00,"1,700.00",2019
2,B20040100230-0,1.02001E+11,745 NW 1 ST,10/18/2019,ROAD,A,325440.39,6508.81,0,0,0,252-00,100,2019
2,B20040100235-0,1.02001E+11,**SAMPLE ASSESSMENT**,9/30/2020,ROAD,A,"$336,235.10 ","$6,724.70 ",$0.00 ,$0.00 ,$0.00 ,252-00,100,2020
8,B20040200084-0,2.4203E+11,**SAMPLE ASSESSMENT**,5/29/2020,ROAD,A,"$159,965.88 ","$3,199.32 ",$0.00 ,$0.00 ,$0.00 ,820-01,"12,000.00",2020
7,B20040300082-0,3.4117E+11,**,1/14/2019,ROAD,A,47.68,0.95,0,0,0,932-00,1,2019
3.1,B2004070559-0,7.2208E+11,1550 NE 168 ST,5/24/2016,ROAD,C,"$5,442.02 ",$108.84 ,$0.00 ,$0.00 ,$0.00 ,565-00,"5,116.00",2016
1,B20042200007-2,2.2203E+12,10801 NW 122 ST ,10/26/2015,ROAD,A,$0.00 ,"$1,000.00 ","$170,837.15 ",$0.00 ,$0.00 ,150-00,"224,038.00",2015
1,B20042200009-2,2.2203E+12,10760 NW 123 ST,10/26/2015,ROAD,A,$0.00 ,$742.95 ,"$37,147.62 ",$0.00 ,$0.00 ,150-00,"49,401.00",2015
2,B20050000925-0,1.3127E+11,2301 NW 24 AVE,12/9/2015,ROAD,C,"$20,805.88 ",$416.12 ,$0.00 ,$0.00 ,$0.00 ,210-00,-1,2015
2,B20050000925-0,1.3127E+11,2301 NW 24 AVE,12/9/2015,ROAD,C,"$20,805.88 ",$416.12 ,$0.00 ,$0.00 ,$0.00 ,220-00,24,2015
2,B2005012824-1,1.4109E+11,1801 SW 32 AVE,5/22/2017,ROAD,C,"$31,039.67 ",$620.80 ,$0.00 ,$0.00 ,$0.00 ,210-00,-1,2017
2,B2005012824-1,1.4109E+11,1801 SW 32 AVE,5/22/2017,ROAD,C,"$31,039.67 ",$620.80 ,$0.00 ,$0.00 ,$0.00 ,220-00,40,2017
2,B2005012824-1,1.4109E+11,1801 SW 32 AVE,5/22/2017,ROAD,C,"$31,039.67 ",$620.80 ,$0.00 ,$0.00 ,$0.00 ,820-00,"-1,978.00",2017
1,B20052200010-2,2.2203E+12,11025 NW 124 ST,10/26/2015,ROAD,A,$0.00 ,"$1,000.00 ","$79,696.07 ",$0.00 ,$0.00 ,150-00,"105,210.00",2015
1,B2006001414-0,3.53034E+12,7890 NW 25 ST,1/25/2018,ROAD,C,"$7,282.61 ",$145.65 ,$0.00 ,$0.00 ,$0.00 ,833-00,818,2018
2,B2006001909-0,1.3218E+11,5582 NE 4 CT,11/16/2020,ROAD,C,"$5,226.40 ",$104.52 ,$0.00 ,$0.00 ,$0.00 ,832-00,645,2020
2,B2006001909-0,1.3218E+11,5582 NE 4 CT,11/16/2020,ROAD,C,"$5,226.40 ",$104.52 ,$0.00 ,$0.00 ,$0.00 ,150-00,-645,2020
3.1,B200600483-0,3.22023E+12,14701 NW 77 AVE  100,2/16/2017,ROAD,C,"$10,749.48 ",$214.99 ,$0.00 ,$0.00 ,$0.00 ,710-01,"-12,292.00",2017
3.1,B200600483-0,3.22023E+12,14701 NW 77 AVE  100,2/16/2017,ROAD,C,"$10,749.48 ",$214.99 ,$0.00 ,$0.00 ,$0.00 ,720-00,"12,292.00",2017
6,B20061000297-0,1.07908E+12,XXX TEST,8/11/2016,ROAD,A,"$5,165,022.55 ","$103,300.45 ",$0.00 ,$0.00 ,$0.00 ,710-03,"188,000.00",2016
6,B20061000297-0,1.07908E+12,XXX TEST,8/11/2016,ROAD,A,"$5,165,022.55 ","$103,300.45 ",$0.00 ,$0.00 ,$0.00 ,820-03,"141,000.00",2016
6,B20061000297-0,1.07908E+12,XXX TEST,8/11/2016,ROAD,A,"$5,165,022.55 ","$103,300.45 ",$0.00 ,$0.00 ,$0.00 ,222-00,210,2016
6,B20061000299-0,1.07921E+12,**SAMPLE ASSESSMENT**,11/10/2020,ROAD,A,"$363,149.02 ","$7,262.98 ",$0.00 ,$0.00 ,$0.00 ,150-00,"70,000.00",2020
3.1,B2006140645-0,1.42235E+12,9466 HARDING AVE,1/21/2020,ROAD,C,$542.65 ,$10.85 ,$0.00 ,$0.00 ,$0.00 ,911-00,"-1,500.00",2020
3.1,B2006140645-0,1.42235E+12,9466 HARDING AVE,1/21/2020,ROAD,C,$542.65 ,$10.85 ,$0.00 ,$0.00 ,$0.00 ,820-00,"1,500.00",2020
2,B20065011136-0,1.3112E+11,8201 NE 1 PL,8/31/2016,ROAD,A,"$7,483.83 ",$149.68 ,$0.00 ,$0.00 ,$0.00 ,820-00,"3,327.60",2016
2,B20065023484-0,1.4104E+11,3080 W FLAGLER ST,12/6/2019,ROAD,A,1436.82,28.74,0,0,0,220-00,-4,2019
2,B20065023484-0,1.4104E+11,3080 W FLAGLER ST,12/6/2019,ROAD,A,1436.82,28.74,0,0,0,720-00,"1,740.00",2019
9.1,B20070403562-1,4.3011E+11,3675 W 18 AVE,6/27/2018,ROAD,C,"$7,617.64 ",$152.36 ,$0.00 ,$0.00 ,$0.00 ,820-05,"6,000.00",2018
9.1,B20070403562-1,4.3011E+11,3675 W 18 AVE,6/27/2018,ROAD,C,"$7,617.64 ",$152.36 ,$0.00 ,$0.00 ,$0.00 ,820-00,"-6,000.00",2018
9,B2007045458-0,4.3105E+11,610 E 49 ST,2/15/2018,ROAD,C,"$4,318.57 ",$86.37 ,$0.00 ,$0.00 ,$0.00 ,210-00,-1,2018
9,B2007045458-0,4.3105E+11,610 E 49 ST,2/15/2018,ROAD,C,"$4,318.57 ",$86.37 ,$0.00 ,$0.00 ,$0.00 ,710-00,"2,191.00",2018
3,B2007223574-0,3.22024E+12,5737 NW 151 ST,11/20/2017,ROAD,C,"$3,891.06 ",$77.82 ,$0.00 ,$0.00 ,$0.00 ,710-00,"2,157.00",2017
3,B2007223574-0,3.22024E+12,5737 NW 151 ST,11/20/2017,ROAD,C,"$3,891.06 ",$77.82 ,$0.00 ,$0.00 ,$0.00 ,150-00,"-2,157.00",2017
1,B20073503670-1,3.53022E+12,8050 NW 58 ST,10/8/2020,ROAD,A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,150-00,"10,604.00",2020
2,B20090118210-0,1.31271E+11,1781 NW 23 TER,11/13/2015,ROAD,A,"$31,911.76 ",$638.24 ,$0.00 ,$0.00 ,$0.00 ,565-00,"30,000.00",2015
8,B200901247-0,2.3234E+11,201 LINCOLN RD,10/8/2019,ROAD,A,0,0,0,0,0,820-01,"3,460.00",2019
8,B200901247-0,2.3234E+11,201 LINCOLN RD,10/8/2019,ROAD,A,0,0,0,0,0,833-00,-501.76,2019
8,B200901247-0,2.3234E+11,201 LINCOLN RD,10/8/2019,ROAD,A,0,0,0,0,0,9999-00,-0.07,2019
9,B2009013258-0,2.72033E+12,8847-8849 NW 117 ST,11/3/2017,ROAD,C,"$6,214.89 ",$124.29 ,$0.00 ,$0.00 ,$0.00 ,150-00,"-3,863.00",2017
9,B2009013258-0,2.72033E+12,8847-8849 NW 117 ST,11/3/2017,ROAD,C,"$6,214.89 ",$124.29 ,$0.00 ,$0.00 ,$0.00 ,820-00,"3,863.00",2017
8,B2009104069-0,2.3226E+11,228 W 40 ST,6/7/2018,ROAD,C,"$5,657.29 ",$113.14 ,$0.00 ,$0.00 ,$0.00 ,820-00,-861,2018
8,B2009104069-0,2.3226E+11,228 W 40 ST,6/7/2018,ROAD,C,"$5,657.29 ",$113.14 ,$0.00 ,$0.00 ,$0.00 ,832-00,861,2018
1,B201000336-0,3.5303E+12,2624 NW 112 AVE,7/6/2016,ROAD,A,"$2,258.23 ",$45.16 ,$0.00 ,$0.00 ,$0.00 ,150-00,512,2016
1,B201000448-0,3.5303E+12,2900 NW 109 AVE,7/18/2017,ROAD,A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,565-00,"6,897.00",2017
1,B201000448-0,3.5303E+12,2900 NW 109 AVE,7/18/2017,ROAD,A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,710-00,"-3,010.66",2017
9,B2010041784-0,4.3118E+11,373 W 9 ST,2/9/2018,ROAD,C,"$8,409.43 ",$168.19 ,$0.00 ,$0.00 ,$0.00 ,820-01,"20,230.00",2018
9,B2010041784-0,4.3118E+11,373 W 9 ST,2/9/2018,ROAD,C,"$8,409.43 ",$168.19 ,$0.00 ,$0.00 ,$0.00 ,820-01,"-13,717.00",2018
5,B20102000017-0,3.05909E+12,**SAMPLE ASSESSMENT**,1/17/2019,ROAD,A,586365.71,11727.31,0,0,0,220-00,90,2019
2,B20102000028-0,3.02134E+12,**REFERENCE ONLY**,7/31/2019,ROAD,A,0,0,0,0,0,820-00,0,2019
3,B20102000032-0,3.01232E+12,**SAMPLE ASSESSMENT**,3/18/2020,ROAD,A,"$4,204.07 ",$84.08 ,$0.00 ,$0.00 ,$0.00 ,222-00,1,2020
2,B20103300064-0,3.0311E+12,XXXXXXXX,9/18/2017,ROAD,A,"$57,308,294.12 ","$1,146,165.88 ",$0.00 ,$0.00 ,$0.00 ,710-09,"8,100,000.00",2017
3.1,B20103300067-0,3.0222E+12,14918 W DIXIE HWY - SAMPLE,4/10/2018,ROAD,A,"$95,999.93 ","$1,920.00 ",$0.00 ,$0.00 ,$0.00 ,630-00,"8,216.00",2018
3.1,B20103300067-0,3.0222E+12,14918 W DIXIE HWY - SAMPLE,4/10/2018,ROAD,A,"$95,999.93 ","$1,920.00 ",$0.00 ,$0.00 ,$0.00 ,820-00,"-8,216.00",2018
2,B20103300071-0,3.0311E+12,7680 NW 17 AVE,1/17/2019,ROAD,A,73914.92,1478.3,0,0,0,220-00,12,2019
1,B2011000146-0,3.5303E+12,2666 NW 112 AVE,7/6/2016,ROAD,A,"$2,496.39 ",$49.93 ,$0.00 ,$0.00 ,$0.00 ,150-00,566,2016
2,B20110014526-0,1.3125E+11,2214 N MIAMI AVE,8/2/2016,ROAD,A,"$16,438.75 ",$328.77 ,$0.00 ,$0.00 ,$0.00 ,150-00,"-2,390.00",2016
2,B20110014526-0,1.3125E+11,2214 N MIAMI AVE,8/2/2016,ROAD,A,"$16,438.75 ",$328.77 ,$0.00 ,$0.00 ,$0.00 ,820-00,"2,390.00",2016
2,B20110018322-0,1.31361E+11,1603 NW 7 AVE,1/19/2016,ROAD,A,"$719,607.36 ","$14,392.15 ",$0.00 ,$0.00 ,$0.00 ,610-00,"70,755.00",2016
2,B20110018322-0,1.31361E+11,1603 NW 7 AVE,1/19/2016,ROAD,A,"$719,607.36 ","$14,392.15 ",$0.00 ,$0.00 ,$0.00 ,710-00,"18,545.00",2016
2,B2011011149-0,1.0205E+11,301 SW 8 ST,4/22/2020,ROAD,A,"$2,663.24 ",$53.26 ,$0.00 ,$0.00 ,$0.00 ,820-00,"-3,060.00",2020
2,B2011011149-0,1.0205E+11,301 SW 8 ST,4/22/2020,ROAD,A,"$2,663.24 ",$53.26 ,$0.00 ,$0.00 ,$0.00 ,140-00,"-3,920.00",2020
2,B2011011149-0,1.0205E+11,301 SW 8 ST,4/22/2020,ROAD,A,"$2,663.24 ",$53.26 ,$0.00 ,$0.00 ,$0.00 ,491-00,2,2020
2,B20110119860-0,1.41101E+11,2135 SW 22 ST,11/13/2015,ROAD,A,"$22,744.36 ",$454.89 ,$0.00 ,$0.00 ,$0.00 ,710-00,"-4,551.00",2015
2,B20110119860-0,1.41101E+11,2135 SW 22 ST,11/13/2015,ROAD,A,"$22,744.36 ",$454.89 ,$0.00 ,$0.00 ,$0.00 ,540-00,111,2015
6,B2011030294-1,1.07909E+12,2905 NE 9 ST,7/25/2017,ROAD,A,"$324,698.10 ","$6,493.96 ",$0.00 ,$0.00 ,$0.00 ,9999-00,"-23,124.49",2017
6,B2011030294-1,1.07909E+12,2905 NE 9 ST,7/25/2017,ROAD,A,"$324,698.10 ","$6,493.96 ",$0.00 ,$0.00 ,$0.00 ,310-00,100,2017
3.1,B20111212-0,3.22013E+12,15507 NW 67 AVE,4/17/2017,ROAD,C,"$20,362.20 ",$407.25 ,$0.00 ,$0.00 ,$0.00 ,710-00,"-2,155.00",2017
3.1,B20111212-0,3.22013E+12,15507 NW 67 AVE,4/17/2017,ROAD,C,"$20,362.20 ",$407.25 ,$0.00 ,$0.00 ,$0.00 ,720-00,"2,155.00",2017
2,B20115019964-0,1.4116E+11,2601 SW 37 AVE (#704),11/7/2018,ROAD,C,"$8,173.23 ",$163.46 ,$0.00 ,$0.00 ,$0.00 ,710-00,-865,2018
2,B20115019964-0,1.4116E+11,2601 SW 37 AVE (#704),11/7/2018,ROAD,C,"$8,173.23 ",$163.46 ,$0.00 ,$0.00 ,$0.00 ,720-00,865,2018
2,B20120004540-1,1.4112E+11,"1101 BRICKELL AVE, EAST TOWER",8/4/2015,ROAD,A,"$3,172,635.38 ","$63,452.71 ",$0.00 ,$0.00 ,$0.00 ,820-01,"19,548.00",2015
2,B20120004540-1,1.4112E+11,"1101 BRICKELL AVE, EAST TOWER",8/4/2015,ROAD,A,"$3,172,635.38 ","$63,452.71 ",$0.00 ,$0.00 ,$0.00 ,310-00,208,2015
2,B20120004540-1,1.4112E+11,"1101 BRICKELL AVE, EAST TOWER",8/4/2015,ROAD,A,"$3,172,635.38 ","$63,452.71 ",$0.00 ,$0.00 ,$0.00 ,220-00,821,2015
2,B20120004540-1,1.4112E+11,"1101 BRICKELL AVE, EAST TOWER",8/4/2015,ROAD,A,"$3,172,635.38 ","$63,452.71 ",$0.00 ,$0.00 ,$0.00 ,932-00,"13,430.00",2015
2,B2012009623-0,1.3125E+11,120 NW 25 ST,6/19/2018,ROAD,C,"$35,662.94 ",$713.26 ,$0.00 ,$0.00 ,$0.00 ,820-00,"7,000.00",2018
2,B2012009623-0,1.3125E+11,120 NW 25 ST,6/19/2018,ROAD,C,"$35,662.94 ",$713.26 ,$0.00 ,$0.00 ,$0.00 ,150-00,"-7,000.00",2018
2,B2012010756-0,1.3231E+11,1000 BISCAYNE BLVD,1/26/2015,ROAD,C,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,820-00,0,2015
2,B2012010756-0,1.3231E+11,1000 BISCAYNE BLVD,1/26/2015,ROAD,C,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,231-00,0,2015
2,B2012010756-0,1.3231E+11,1000 BISCAYNE BLVD,1/26/2015,ROAD,C,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,932-00,0,2015
2,B2012010756-0,1.3231E+11,1000 BISCAYNE BLVD,1/26/2015,ROAD,C,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,944-00,0,2015
2,B20120661201-0,1.41121E+11,850 SW 2 AVE,1/4/2016,ROAD,A,"$155,885.73 ","$3,117.71 ",$0.00 ,$0.00 ,$0.00 ,220-00,-26,2016
2,B20120661201-0,1.41121E+11,850 SW 2 AVE,1/4/2016,ROAD,A,"$155,885.73 ","$3,117.71 ",$0.00 ,$0.00 ,$0.00 ,220-00,89,2016
2,B20120667201-0,1.41121E+11,144 SW 8 ST,2/3/2017,ROAD,C,$0.00 ,"$1,858.26 ",$0.00 ,$0.00 ,$0.00 ,820-00,"-5,108.00",2017
2,B20120667201-0,1.41121E+11,144 SW 8 ST,2/3/2017,ROAD,C,$0.00 ,"$1,858.26 ",$0.00 ,$0.00 ,$0.00 ,220-00,64,2017
2,B20120667201-0,1.41121E+11,144 SW 8 ST,2/3/2017,ROAD,C,$0.00 ,"$1,858.26 ",$0.00 ,$0.00 ,$0.00 ,820-00,"-4,320.00",2017
